STU_ID,X4INCOMECAT,X4RFDGMJSTEM,X4OCCFBSTEM1,S4JOBSAT2,X5STEM3ERN,X1TXMQUINT,X1MTHINT,X1SCIINT,X1MTHUTI,X1SCIUTI,X1MTHEFF,X1SCIEFF,X1MTHID,X1SCIID,S1FAVSUBJ,X2TXMQUINT,S2MUSELIFE,S2MUSECLG,X1DADEDU,X1MOMEDU,S2EDUASP,X3TAGPA12,S4BIRTHSEX,X1RACE,X1SES_U
11337,5,0,-7,-7,-8,5,-0.18,0.54,0.27,-0.28,1.62,0.68,0.6,-0.33,7,3,-9,-9,0,4,5,3.0,-5,6,0.2059
11338,9,-7,0,3,-6,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,2,4,2,-8,-8,3,-8.0,-5,-9,-8.0
11339,-8,-8,-8,-8,0,3,0.49,-1.07,1.31,-1.93,-1.53,-2.19,-1.16,-0.97,7,3,1,1,1,1,7,1.5,-5,5,-0.9874
11341,9,-7,0,4,-6,1,-0.29,0.93,-0.3,-1.5,-0.56,-0.48,-0.57,-0.33,2,1,2,2,2,2,2,2.0,-5,8,-0.1275
11342,-8,-8,-8,-8,-8,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,5,1,2,-8,-8,6,3.5,-5,-9,-8.0
11343,5,1,0,-7,52,4,0.49,1.25,0.67,0.1,-0.3,0.25,-0.57,-0.33,10,5,1,1,5,5,7,-1.0,-5,3,1.1596
11345,6,0,-7,-7,-8,3,0.55,-7.0,1.31,-7.0,-0.17,-7.0,0.6,0.91,7,2,2,2,0,2,5,-1.0,-5,8,-0.1282
11346,-8,-8,-8,-8,-6,1,-9.0,-9.0,1.31,1.69,-2.92,-0.48,-0.57,0.91,-9,1,-9,2,-8,-8,2,-1.0,-5,2,-0.4172
11347,8,-7,0,2,-6,1,-7.0,0.16,-7.0,-0.33,-7.0,-1.2,-1.73,-0.33,13,-8,-8,-8,-8,-8,-8,-1.0,-5,6,0.0536
11348,2,-7,-7,-7,-6,1,-1.31,-9.0,1.31,1.27,-0.97,-0.49,-1.73,-1.57,7,2,1,1,3,2,2,1.0,-5,8,-0.597
11349,4,-7,0,3,-6,1,0.19,-2.22,-0.7,-0.89,0.1,0.25,0.03,0.31,11,1,2,2,0,3,7,2.0,-5,5,0.0621
11350,-8,-8,-8,-8,45,3,0.19,0.56,-1.33,0.15,0.1,-0.59,0.6,-0.97,7,5,2,1,4,2,6,4.0,-5,8,0.7652
11351,7,-7,0,2,-6,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,3,2,2,-8,-8,8,1.5,-5,-9,-8.0
11352,5,0,-7,2,0,2,-0.34,-0.67,0.04,-0.89,-1.02,-0.9,-1.73,-1.57,11,2,4,4,-8,-8,8,3.0,-5,8,0.2759
11353,-8,-8,-8,-8,31,4,-0.36,0.54,0.9,-0.33,-0.83,0.26,0.6,0.31,7,-8,-8,-8,5,4,-8,-1.0,-5,8,0.4734
11355,1,0,-7,-7,-6,2,0.51,1.38,-0.3,1.13,0.1,0.25,-0.57,0.91,4,4,2,2,5,5,7,3.0,-5,8,0.423
11356,3,0,-7,-7,-8,5,-0.11,1.38,-0.3,0.1,0.1,-1.33,1.76,-0.33,5,5,1,1,-8,-8,8,2.5,-5,4,0.3007
11357,6,-7,0,2,-8,4,1.22,2.03,0.34,1.27,-0.17,0.25,0.0,0.91,3,1,3,2,3,3,7,3.0,-5,8,0.2329
